href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2423,mandarin86,female,"[u'liaoning,', u'china']","mandarin
(cmn)",[u'none'],"[u'22,', u'female', u'']",7.0,academic,[u'usa'],0.1,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2435,mandarin87,female,"[u'gansu,', u'china']","mandarin
(cmn)",[u'none'],"[u'22,', u'female', u'']",7.0,academic,[u'usa'],1.0,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2447,mandarin88,male,"[u'anhui,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'23,', u'male', u'']",8.0,academic,[u''],0.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2448,mandarin89,male,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'19,', u'male', u'']",12.0,academic,[u'usa'],1.0,  19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2461,mandarin90,male,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'27,', u'male', u'']",8.0,academic,[u'usa'],0.8,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2463,mandarin91,male,"[u'anhui,', u'china']","mandarin
(cmn)",[u'none'],"[u'22,', u'male', u'']",13.0,academic,[u''],0.0,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2469,mandarin92,female,"[u'jiangsu,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'female', u'']",10.0,academic,[u''],0.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2474,mandarin93,female,"[u'shanxi,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'22,', u'female', u'']",6.0,academic,[u'usa'],0.3,  22
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2477,mandarin94,male,"[u'mongolia,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'male', u'']",8.0,academic,[u'usa'],0.3,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2483,mandarin95,female,"[u'hubei,', u'china']","mandarin
(cmn)","[u'arabic', u'']","[u'29,', u'female', u'']",11.0,academic,[u'usa'],2.0,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2494,mandarin96,female,"[u'shandong,', u'china']","mandarin
(cmn)",[u'none'],"[u'27,', u'female', u'']",9.0,academic,[u'usa'],5.4,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2523,mandarin97,female,"[u'jiangxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'28,', u'female', u'']",11.0,academic,"[u'hong', u'kong']",1.5,  28
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2524,mandarin98,female,"[u'jiangxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'25,', u'female', u'']",11.0,academic,[u'australia'],1.5,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2529,mandarin99,female,"[u'jiangxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'26,', u'female', u'']",9.0,academic,[u'uk'],1.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2530,mandarin100,female,"[u'hubei,', u'china']","mandarin
(cmn)",[u'none'],"[u'25,', u'female', u'']",13.0,academic,[u''],0.0,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2531,mandarin101,female,"[u'jiangxi,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'23,', u'female', u'']",10.0,academic,[u''],0.0,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2532,mandarin102,female,"[u'hubei,', u'china']","mandarin
(cmn)","[u'japanese', u'']","[u'27,', u'female', u'']",10.0,academic,[u''],0.0,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2538,mandarin103,female,"[u'sichuan,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'27,', u'female', u'']",12.0,academic,[u'usa'],1.0,  27
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2539,mandarin104,female,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'29,', u'female', u'']",7.0,academic,[u'usa'],2.0,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2540,mandarin105,female,"[u'mongolia,', u'china']","mandarin
(cmn)","[u'cantonese', u'korean', u'']","[u'26,', u'female', u'']",12.0,academic,[u'usa'],2.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2542,mandarin106,female,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'25,', u'female', u'']",2.0,academic,[u'usa'],5.0,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2554,mandarin107,female,"[u'shanxi,', u'china']","mandarin
(cmn)","[u'cantonese', u'korean', u'japanese', u'']","[u'26,', u'female', u'']",8.0,academic,[u'australia'],1.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2557,mandarin108,female,"[u'guangxi,', u'china']","mandarin
(cmn)","[u'cantonese', u'']","[u'26,', u'female', u'']",14.0,academic,[u'australia'],5.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2559,mandarin109,female,"[u'shanxi,', u'china']","mandarin
(cmn)","[u'french', u'']","[u'23,', u'female', u'']",4.0,academic,[u'australia'],0.5,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2560,mandarin110,female,"[u'liaoning,', u'china']","mandarin
(cmn)","[u'french', u'german', u'ancient', u'greek', u'latin', u'']","[u'24,', u'female', u'']",7.0,academic,[u'australia'],2.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2562,mandarin111,female,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'23,', u'female', u'']",6.0,academic,[u'australia'],0.2,  23
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2564,mandarin112,male,"[u'tianjin,', u'china']","mandarin
(cnm)",[u'none'],"[u'26,', u'male', u'']",6.0,academic,[u'usa'],0.8,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2566,mandarin113,male,"[u'mongolia,', u'china']","mandarin
(cmn)",[u'none'],"[u'29,', u'male', u'']",10.0,academic,[u'usa'],0.8,  29
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2599,mandarin114,female,"[u'beijing,', u'china']","mandarin
(cmn)",[u'none'],"[u'19,', u'female', u'']",13.0,academic,[u'usa'],6.0,  19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2675,mandarin115,male,"[u'xinjiang,', u'china']","mandarin
(cmn)","[u'latin', u'']","[u'19,', u'male', u'']",5.0,academic,[u''],0.0,  19
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2677,mandarin116,male,"[u'mongolia,', u'china']","mandarin
(cmn)","[u'mongolian', u'french', u'']","[u'24,', u'male', u'']",9.0,academic,[u'usa'],1.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2678,mandarin117,male,"[u'jilin,', u'china']","mandarin
(cmn)",[u'none'],"[u'25,', u'male', u'']",9.0,academic,[u'usa'],6.0,  25
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2679,mandarin118,female,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'female', u'']",9.0,academic,[u'usa'],1.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2699,mandarin119,female,"[u'jilin,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'female', u'']",7.0,academic,[u'usa'],1.0,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2700,mandarin120,male,"[u'hebei,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'male', u'']",10.0,academic,[u'usa'],0.1,  24
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2708,mandarin121,female,"[u'anhui,', u'china']","mandarin
(cmn)",[u'none'],"[u'30,', u'female', u'']",13.0,academic,[u'usa'],5.0,  30
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2711,mandarin122,male,"[u'shanxi,', u'china']","mandarin
(cmn)",[u'none'],"[u'26,', u'male', u'']",6.0,academic,[u'usa'],1.0,  26
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2714,mandarin123,male,"[u'sichuan,', u'china']","mandarin
(cmn)",[u'none'],"[u'21,', u'male', u'']",6.0,academic,[u'usa'],1.0,  21
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2716,mandarin124,female,"[u'chongqing,', u'china']","mandarin
(cmn)",[u'none'],"[u'33,', u'female', u'']",13.0,academic,[u'usa'],3.2,  33
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2719,mandarin125,female,"[u'jilin,', u'china']","mandarin
(cmn)",[u'none'],"[u'24,', u'female', u'']",6.0,academic,[u'usa'],1.0,  24
